name,location,specialties,address
Medanta Institute,"Bhopal, Madhya Pradesh",Thyroid,"Bakshi Zila, Bhopal, Madhya Pradesh 332181"
AIIMS Speciality Hospital,"Hyderabad, Telangana",Stroke:Cancer:Neurology:Gastroenterology:Heart Problems,"Sami, Hyderabad, Telangana 013389"
Shree Medical Center,"Patna, Bihar",Heart Problems,"Issac Nagar, Patna, Bihar 379402"
Global Medical Center,"Bhopal, Madhya Pradesh",Kidney:Gastroenterology:Heart Problems:Cancer,"Oak Marg, Bhopal, Madhya Pradesh 235116"
Global Hospital,"Chennai, Tamil Nadu",Kidney,"Parmer Zila, Chennai, Tamil Nadu 940781"
AIIMS Institute,"Pune, Maharashtra",Thyroid,"Brar Marg, Pune, Maharashtra 959310"
Narayana Hospital,"Thiruvananthapuram, Kerala",Heart Problems:Diabetes,"Mann Ganj, Thiruvananthapuram, Kerala 316475"
Global Hospital,"Lucknow, Uttar Pradesh",Stroke:Gastroenterology:Liver:Heart Problems,"Prabhakar Street, Lucknow, Uttar Pradesh 341928"
Medanta Institute,"Jaipur, Rajasthan",Orthopedics:Thyroid:Heart Problems,"Gade Ganj, Jaipur, Rajasthan 648350"
AIIMS Hospital,"Kochi, Kerala",Thyroid:Neurology,"Balay Ganj, Kochi, Kerala 641395"
Life Hospital,"Visakhapatnam, Andhra Pradesh",Neurology,"Tata Ganj, Visakhapatnam, Andhra Pradesh 724238"
Narayana Health Care,"Nagpur, Maharashtra",Kidney,"Lall Circle, Nagpur, Maharashtra 965328"
AIIMS Institute,"Coimbatore, Tamil Nadu",Heart Problems:Gastroenterology,"Chand Chowk, Coimbatore, Tamil Nadu 122691"
Apollo Speciality Hospital,"Indore, Madhya Pradesh",Thyroid,"Raj Marg, Indore, Madhya Pradesh 848018"
Global Speciality Hospital,"Kolkata, West Bengal",Kidney:Liver:Heart Problems:Gastroenterology:Thyroid,"Oak Road, Kolkata, West Bengal 462704"
Apollo Health Care,"Thiruvananthapuram, Kerala",Heart Problems:Neurology,"Gokhale Circle, Thiruvananthapuram, Kerala 489325"
Global Clinic,"Jaipur, Rajasthan",Neurology,"Zacharia Street, Jaipur, Rajasthan 957015"
Life Health Care,"Bangalore, Karnataka",Neurology,"Khatri Road, Bangalore, Karnataka 391171"
Care Health Care,"Ahmedabad, Gujarat",Orthopedics:Diabetes,"Dass Circle, Ahmedabad, Gujarat 782489"
Care Hospital,"Pune, Maharashtra",Thyroid:Cancer:Kidney:Gastroenterology:Liver,"Kakar Marg, Pune, Maharashtra 465787"
Fortis Speciality Hospital,"Jaipur, Rajasthan",Heart Problems:Diabetes:Thyroid,"Kota Zila, Jaipur, Rajasthan 150983"
Global Health Care,"Mumbai, Maharashtra",Orthopedics:Stroke:Cancer,"Kannan, Mumbai, Maharashtra 103105"
AIIMS Hospital,"New Delhi, Delhi",Thyroid:Orthopedics:Stroke:Cancer,"Varkey Zila, New Delhi, Delhi 473829"
Global Institute,"Ahmedabad, Gujarat",Diabetes,"Solanki, Ahmedabad, Gujarat 763116"
Shree Medical Center,"Visakhapatnam, Andhra Pradesh",Kidney:Liver:Heart Problems:Cancer:Gastroenterology,"Sampath Path, Visakhapatnam, Andhra Pradesh 701065"
Shree Clinic,"Nagpur, Maharashtra",Thyroid:Stroke,"Kothari Zila, Nagpur, Maharashtra 387262"
Care Hospital,"Jaipur, Rajasthan",Neurology:Diabetes:Cancer,"Shere Road, Jaipur, Rajasthan 178108"
Narayana Institute,"Kochi, Kerala",Gastroenterology,"Chander Nagar, Kochi, Kerala 267736"
Care Hospital,"Bangalore, Karnataka",Diabetes:Orthopedics:Neurology:Kidney,"Gala Nagar, Bangalore, Karnataka 064746"
Life Institute,"Bhopal, Madhya Pradesh",Diabetes,"Sur Circle, Bhopal, Madhya Pradesh 343098"
Apollo Health Care,"Bangalore, Karnataka",Thyroid,"Murthy Nagar, Bangalore, Karnataka 097882"
Medanta Speciality Hospital,"New Delhi, Delhi",Gastroenterology:Neurology:Heart Problems:Orthopedics:Thyroid,"Trivedi Nagar, New Delhi, Delhi 219136"
Medanta Health Care,"Surat, Gujarat",Neurology:Diabetes:Orthopedics:Gastroenterology,"Koshy Zila, Surat, Gujarat 916998"
